Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Buffer_Length,Queue_Length,Entities_System
26528.26731484096,NEXT_ARRIVAL,26414.364745747862,26528.26731484096,241825.2578440033,14444.642527718657,0,0,2
26540.536089513735,NEXT_ARRIVAL,26528.26731484096,26540.536089513735,242426.4278029686,14481.448851736983,0,0,3
26555.8716121012,NEXT_ARRIVAL,26540.536089513735,26555.8716121012,243162.53288716712,14542.790942086845,0,0,4
26563.44942992311,END_SERVICE,26414.364745747862,26563.44942992311,243518.69032479663,14580.680031196385,0,0,5
26566.03230672734,END_SERVICE,26555.8716121012,26566.03230672734,243642.6684113995,14591.011538413306,0,0,4
26571.566420289808,END_SERVICE,26384.02632816985,26571.566420289808,243913.83997596015,14607.613879100714,0,0,3
26627.14770317291,NEXT_ARRIVAL,26555.8716121012,26627.14770317291,246692.90412011498,14718.776444866915,0,0,2
26651.41710293663,NEXT_ARRIVAL,26627.14770317291,26651.41710293663,247882.10470853752,14791.58464415808,0,0,3
26717.918721374874,END_SERVICE,26627.14770317291,26717.918721374874,251074.18239357375,15057.591117911055,0,0,4
26723.683157262498,END_SERVICE,26540.536089513735,26723.683157262498,251356.6397520675,15074.884425573928,0,0,3
26740.645898295992,NEXT_ARRIVAL,26651.41710293663,26740.645898295992,252204.77680374222,15108.809907640916,0,0,2
26799.53588320647,END_SERVICE,26528.26731484096,26799.53588320647,255090.38606435637,15285.47986237235,0,0,3
26814.43325210321,END_SERVICE,26651.41710293663,26814.43325210321,255835.254509194,15315.274600165827,0,0,2
26844.059719314715,NEXT_ARRIVAL,26740.645898295992,26844.059719314715,257346.20433698158,15344.901067377334,0,0,1
26914.61183931978,END_SERVICE,26740.645898295992,26914.61183931978,260873.81033723516,15486.005307387462,0,0,2
26922.31638302952,END_SERVICE,26844.059719314715,26922.31638302952,261266.74206643266,15493.709851097203,0,0,1
26924.335048347923,NEXT_ARRIVAL,26844.059719314715,26924.335048347923,261371.7126629898,15493.709851097203,0,0,0
26978.921239071187,END_SERVICE,26924.335048347923,26978.921239071187,264155.6083898772,15548.296041820468,0,0,1
27077.54653824604,NEXT_ARRIVAL,26924.335048347923,27077.54653824604,269284.12394697004,15548.296041820468,0,0,0
27089.72636562783,NEXT_ARRIVAL,27077.54653824604,27089.72636562783,269905.29514344176,15560.475869202259,0,0,1
27155.58917152741,NEXT_ARRIVAL,27089.72636562783,27155.58917152741,273198.43543842086,15692.201481001415,0,0,2
27167.628744843685,NEXT_ARRIVAL,27155.58917152741,27167.628744843685,273788.37453091895,15728.320200950246,0,0,3
