Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Queue_Length,Entities_System
27899.772693348692,END_SERVICE,27785.514863122095,27899.772693348692,306402.42414340604,21185.755910724296,0,7
27901.379732378464,END_SERVICE,27875.36682120033,27901.379732378464,306476.3479387754,21195.398144902927,0,6
27907.28416768311,NEXT_ARRIVAL,27875.36682120033,27907.28416768311,306753.85639809316,21224.92032142615,0,5
27917.36689763462,NEXT_ARRIVAL,27863.329615043403,27917.36689763462,307217.66197586386,21285.41670113522,0,6
27971.662327621973,END_SERVICE,27722.954128346686,27971.662327621973,309660.9563252954,21665.484711046687,0,7
27975.223764069873,NEXT_ARRIVAL,26961.275530109742,27975.223764069873,309824.78240189864,21686.85332973409,0,6
27976.063075735838,END_SERVICE,27709.48504492658,27976.063075735838,309862.5514268674,21692.728511395842,0,7
27992.656187396216,NEXT_ARRIVAL,27896.938021032875,27992.656187396216,310625.8345632453,21792.287181358115,0,6
28012.16683065603,END_SERVICE,27992.656187396216,28012.16683065603,311503.81350993615,21928.86168417682,0,7
28023.152846132904,NEXT_ARRIVAL,27975.223764069873,28023.152846132904,312009.1702218721,21994.777777038053,0,6
28023.236713686783,NEXT_ARRIVAL,26915.203609118198,28023.236713686783,312012.94426179555,21995.36484991521,0,7
28025.122829876058,END_SERVICE,27907.28416768311,28025.122829876058,312095.93337412475,22010.45377942941,0,8
28052.614959113504,END_SERVICE,27975.223764069873,28052.614959113504,313333.07918980997,22202.898684091528,0,7
28059.40270321665,END_SERVICE,27859.421908765667,28059.40270321665,313645.3154185533,22243.6251487104,0,6
28075.423893192747,END_SERVICE,27863.329615043403,28075.423893192747,314398.3113474289,22323.731098590888,0,5
28082.500334119064,END_SERVICE,27896.938021032875,28082.500334119064,314737.9805118909,22352.036862296158,0,4
28098.33340017867,END_SERVICE,28023.152846132904,28098.33340017867,315513.80074881256,22399.53606047498,0,3
28114.70303594057,NEXT_ARRIVAL,27992.656187396216,28114.70303594057,316332.28253690706,22432.275331998775,0,2
28153.687512211498,END_SERVICE,27917.36689763462,28153.687512211498,318242.5218741817,22549.228760811562,0,3
28184.390403862624,NEXT_ARRIVAL,27907.28416768311,28184.390403862624,319777.66645673837,22610.634544113815,0,2
28195.64615575975,END_SERVICE,28114.70303594057,28195.64615575975,320329.198299697,22644.401799805193,0,3
28211.82387890971,END_SERVICE,28023.236713686783,28211.82387890971,321138.0844571942,22676.75724610511,0,2
28228.68023939059,NEXT_ARRIVAL,27722.954128346686,28228.68023939059,321997.7588417195,22693.61360658599,0,1
28230.23476265861,NEXT_ARRIVAL,28023.152846132904,28230.23476265861,322075.4850051203,22696.72265312203,0,2
28237.76892332952,END_SERVICE,28184.390403862624,28237.76892332952,322444.6588779964,22719.325135134764,0,3
28248.587720931766,END_SERVICE,28228.68023939059,28248.587720931766,322985.5987581094,22740.962730339255,0,2
28277.19515417872,NEXT_ARRIVAL,28114.70303594057,28277.19515417872,324444.577853705,22769.57016358621,0,1
28351.649868079992,END_SERVICE,28277.19515417872,28351.649868079992,328167.3135487686,22918.479591388754,0,2
28357.072277998745,NEXT_ARRIVAL,27683.229553856232,28357.072277998745,328443.8564546244,22923.902001307506,0,1
28358.8384123161,NEXT_ARRIVAL,27917.36689763462,28358.8384123161,328532.1631704935,22927.43426994222,0,2
28427.665438434364,NEXT_ARRIVAL,28023.236713686783,28427.665438434364,331904.6874502897,23133.915348297007,0,3
28433.457588097997,NEXT_ARRIVAL,28358.8384123161,28433.457588097997,332182.7106341431,23157.08394695154,0,4
